TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1978Q2,Fisher Quantity Index,"Percent change, annual rate",0,16.4,T10101
T10101,A191RL,1,Gross domestic product,1978Q3,Fisher Quantity Index,"Percent change, annual rate",0,4.1,T10101
T10101,A191RL,1,Gross domestic product,1978Q4,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
T10101,A191RL,1,Gross domestic product,1979Q1,Fisher Quantity Index,"Percent change, annual rate",0,0.7,T10101
T10101,A191RL,1,Gross domestic product,1979Q2,Fisher Quantity Index,"Percent change, annual rate",0,0.4,T10101
T10101,A191RL,1,Gross domestic product,1979Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1979Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.0,T10101
T10101,A191RL,1,Gross domestic product,1980Q1,Fisher Quantity Index,"Percent change, annual rate",0,1.3,T10101
T10101,A191RL,1,Gross domestic product,1980Q2,Fisher Quantity Index,"Percent change, annual rate",0,-8.0,T10101
T10101,A191RL,1,Gross domestic product,1980Q3,Fisher Quantity Index,"Percent change, annual rate",0,-0.5,T10101
T10101,A191RL,1,Gross domestic product,1980Q4,Fisher Quantity Index,"Percent change, annual rate",0,7.7,T10101
T10101,A191RL,1,Gross domestic product,1981Q1,Fisher Quantity Index,"Percent change, annual rate",0,8.1,T10101
T10101,A191RL,1,Gross domestic product,1981Q2,Fisher Quantity Index,"Percent change, annual rate",0,-2.9,T10101
T10101,A191RL,1,Gross domestic product,1981Q3,Fisher Quantity Index,"Percent change, annual rate",0,4.9,T10101
T10101,A191RL,1,Gross domestic product,1981Q4,Fisher Quantity Index,"Percent change, annual rate",0,-4.3,T10101
T10101,A191RL,1,Gross domestic product,1982Q1,Fisher Quantity Index,"Percent change, annual rate",0,-6.1,T10101
T10101,A191RL,1,Gross domestic product,1982Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.8,T10101
T10101,A191RL,1,Gross domestic product,1982Q3,Fisher Quantity Index,"Percent change, annual rate",0,-1.5,T10101
T10101,A191RL,1,Gross domestic product,1982Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.2,T10101
T10101,A191RL,1,Gross domestic product,1983Q1,Fisher Quantity Index,"Percent change, annual rate",0,5.4,T10101
T10101,A191RL,1,Gross domestic product,1983Q2,Fisher Quantity Index,"Percent change, annual rate",0,9.4,T10101
T10101,A191RL,1,Gross domestic product,1983Q3,Fisher Quantity Index,"Percent change, annual rate",0,8.2,T10101
T10101,A191RL,1,Gross domestic product,1983Q4,Fisher Quantity Index,"Percent change, annual rate",0,8.6,T10101
T10101,A191RL,1,Gross domestic product,1984Q1,Fisher Quantity Index,"Percent change, annual rate",0,8.1,T10101
T10101,A191RL,1,Gross domestic product,1984Q2,Fisher Quantity Index,"Percent change, annual rate",0,7.1,T10101
T10101,A191RL,1,Gross domestic product,1984Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.9,T10101
T10101,A191RL,1,Gross domestic product,1984Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.3,T10101
T10101,A191RL,1,Gross domestic product,1985Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.9,T10101
T10101,A191RL,1,Gross domestic product,1985Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.6,T10101
T10101,A191RL,1,Gross domestic product,1985Q3,Fisher Quantity Index,"Percent change, annual rate",0,6.3,T10101
T10101,A191RL,1,Gross domestic product,1985Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1986Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,1986Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.8,T10101
T10101,A191RL,1,Gross domestic product,1986Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.9,T10101
T10101,A191RL,1,Gross domestic product,1986Q4,Fisher Quantity Index,"Percent change, annual rate",0,2.2,T10101
T10101,A191RL,1,Gross domestic product,1987Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1987Q2,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1987Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.5,T10101
T10101,A191RL,1,Gross domestic product,1987Q4,Fisher Quantity Index,"Percent change, annual rate",0,7.0,T10101
T10101,A191RL,1,Gross domestic product,1988Q1,Fisher Quantity Index,"Percent change, annual rate",0,2.1,T10101
T10101,A191RL,1,Gross domestic product,1988Q2,Fisher Quantity Index,"Percent change, annual rate",0,5.4,T10101
T10101,A191RL,1,Gross domestic product,1988Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.4,T10101
T10101,A191RL,1,Gross domestic product,1988Q4,Fisher Quantity Index,"Percent change, annual rate",0,5.4,T10101
T10101,A191RL,1,Gross domestic product,1989Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.1,T10101
T10101,A191RL,1,Gross domestic product,1989Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.1,T10101
T10101,A191RL,1,Gross domestic product,1989Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.0,T10101
T10101,A191RL,1,Gross domestic product,1989Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.8,T10101
T10101,A191RL,1,Gross domestic product,1990Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.4,T10101
T10101,A191RL,1,Gross domestic product,1990Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.5,T10101
T10101,A191RL,1,Gross domestic product,1990Q3,Fisher Quantity Index,"Percent change, annual rate",0,0.3,T10101
T10101,A191RL,1,Gross domestic product,1990Q4,Fisher Quantity Index,"Percent change, annual rate",0,-3.6,T10101
