"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"U.U","Sprott Physical Uranium Trust Trust Units",20.26,2.53,4676745464,,,
"PBH.DB.K","Premium Brands Holdings Corporation 5.50% Convertible Unsecured Subordinated Debentures",104.5,72.19,4667956480,,7.94,
"AD.DB.C","Alaris Equity Partners Income Trust 6.25% Convertible Unsecured Senior Debentures",102.38,5.99,4641787470,,-3.84,
"AD.DB.A","Alaris Equity Partners Income Trust 6.25% Senior Unsecured Debentures",101.2,5.99,4588287673,,-3.84,
"FCR.UN","First Capital Real Estate Investment Trust Trust Units",21.39,,4545375000,4.26367461430575,12.22,
"PBH.DB.I","Premium Brands Holdings Corporation 5.40% Convertible Unsecured Subordinated Debentures",101.6,72.19,4538415104,,7.94,
"ATH","Athabasca Oil Corporation",8.82,9.49,4517604000,,-1.98,
"BBUC","Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares",46.92,,4501075623,0.7482843137254902,-8.18,
"PBH.DB.H","Premium Brands Holdings Corporation 4.20% Convertible Unsecured Subordinated Debentures",100.2,72.19,4475877888,,7.94,
"TKO","Taseko Mines Limited",12.15,,4429369373,,21.61,
"ATS","ATS Corporation",43.55,,4270505509,,4.56,40.08
"EQB","EQB Inc.",115.32,17.76,4219879620,2.046479361775928,12.57,12.87
"AYA","Aya Gold & Silver Inc.",29.53,,4190319462,,59.16,
"SVM","Silvercorp Metals Inc.",18.96,104.04,4176446403,0.18441455696202533,14.4,-13.62
"SES","Secure Waste Infrastructure Corp.",18.92,43.13,4101988402,2.1141649048625792,-37.32,
"CRT.UN","CT Real Estate Investment Trust Units",17.2,133.38,4095125571,5.513720930232558,0.89,13.01
"WDO","Wesdome Gold Mines Ltd.",26.82,13.83,4048988580,,43.12,
"BTE","Baytex Energy Corp.",5.24,18.25,4025981080,1.717557251908397,11.11,
"AAUC.DB.U","Allied Gold Corporation 8.75% Senior Unsecured Convertible Debentures",198,,3914863540,,,
"DIR.UN","Dream Industrial Real Estate Investment Trust Units",13.28,36.32,3884735639,5.270783132530121,23.04,25.82
"POU","Paramount Resources Ltd. Class A",27,2.8,3871800000,2.2222222222222223,-16.77,
"ORA","Aura Minerals Inc.",45.97,,3840081241,3.949519251685882,23.48,61.8
"RGSI","Rockpoint Gas Storage Inc. Class A",28.36,,3771880000,4.212720733427362,,
"FOOD.DB.A","Goodfood Market Corp. 5.75% convertible unsecured subordinated debentures",38,,3755925700,,-15.35,
"FOM","Foran Mining Corporation",7.34,,3755215147,,,
"FC.DB.M","Firm Capital Mortgage Investment Corporation 5.50% Convertible Unsecured Subordinate Debentures",101.81,11.99,3740238257,,9.53,
"EFX","Enerflex Ltd.",30.61,17.7,3728352455,0.5553740607644561,13.09,
"FC.DB.L","Firm Capital Mortgage Investment Corporation 5.00% Convertible Unsecured Subordinated Debentures",99.91,11.99,3670437131,,9.53,
"IE","Ivanhoe Electric Inc. Shares of Common Stock",23.44,,3668586173,,,
"FC.DB.K","Firm Capital Mortgage Investment Corporation 5.00% Unsecured Convertible Debentures",99.76,11.99,3664926516,,9.53,
"USA","Americas Gold and Silver Corporation",13.39,,3663900384,,11.51,
"KXS","Kinaxis Inc.",129.51,72.49,3634159906,,16.14,
"CEU","CES Energy Solutions Corp.",16.83,20.86,3579000665,1.0101010101010102,12.13,
"MFI","Maple Leaf Foods Inc.",28.03,17.25,3500920708,2.9967891544773457,1.13,
"IPCO","International Petroleum Corporation",31.13,94.74,3491401556,,-8.94,
"BEI.UN","Boardwalk Real Estate Investment Trust Trust Units",65.4,10.94,3463082382,2.7522935779816513,8.76,
"SGD","Snowline Gold Corp.",19.23,,3327108449,,,
